time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-06T23:50:28.820Z,19.2045002,-155.4203339,31.41,2.14,md,25,152,0.03929,0.14,hv,hv71321127,2020-01-06T23:53:35.440Z,"6km E of Pahala, Hawaii",earthquake,0.84,0.97,0.2,5,automatic,hv,hv
2020-01-06T23:37:37.320Z,35.8281667,-117.6748333,7.25,1.52,ml,28,41,0.06405,0.18,ci,ci39026159,2020-01-07T01:24:29.940Z,"23km N of Ridgecrest, CA",earthquake,0.24,0.74,0.199,26,reviewed,ci,ci
2020-01-06T23:31:33.030Z,32.6251678,-115.6003342,11.76,1.48,ml,11,197,0.1011,0.22,ci,ci39026151,2020-01-06T23:35:28.360Z,"5km NNW of Progreso, B.C., MX",earthquake,1.5,1,0.282,4,automatic,ci,ci
2020-01-06T23:28:42.530Z,35.892,-117.7393333,8.3,0.78,ml,14,65,0.08581,0.14,ci,ci39026143,2020-01-06T23:32:19.666Z,"16km ESE of Little Lake, CA",earthquake,0.27,0.87,0.224,9,automatic,ci,ci
2020-01-06T23:17:28.613Z,58.8069,-154.5642,135.1,2.2,ml,,,,0.42,ak,ak020ab0rc6,2020-01-06T23:40:03.040Z,"102km S of Old Iliamna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-01-06T23:17:06.430Z,19.1836662,-155.485672,29.04,1.81,md,24,198,0.06559,0.17,hv,hv71321097,2020-01-06T23:20:13.190Z,"2km SSW of Pahala, Hawaii",earthquake,0.99,1.28,0.03,8,automatic,hv,hv
2020-01-06T23:16:16.278Z,66.2866,-157.4186,1.4,1.8,ml,,,,0.79,ak,ak020ab0il7,2020-01-06T23:29:36.959Z,"73km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-06T23:04:08.660Z,36.8409996,-121.5778351,4.96,2.52,md,44,31,0.06372,0.14,nc,nc73324501,2020-01-07T00:13:51.027Z,"4km W of San Juan Bautista, CA",earthquake,0.27,0.62,0.15,40,automatic,nc,nc
2020-01-06T23:03:01.040Z,36.8411674,-121.5770035,5.13,2.64,md,52,31,0.0417,0.15,nc,nc73324496,2020-01-07T01:29:03.392Z,"4km W of San Juan Bautista, CA",earthquake,0.24,0.49,0.14,52,automatic,nc,nc
2020-01-06T22:59:45.032Z,61.437,-150.0236,19.9,2.6,ml,,,,0.83,ak,ak020aaoczz,2020-01-06T23:41:44.040Z,"9km S of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-06T22:55:52.300Z,37.5048,20.6789,10,4.7,mb,,137,1.045,1.03,us,us70006vgg,2020-01-06T23:30:09.040Z,"27km SSW of Lithakia, Greece",earthquake,5.8,1.8,0.091,37,reviewed,us,us
2020-01-06T22:55:51.190Z,36.8451653,-121.57267,5.21,1.27,md,10,118,0.04604,0.05,nc,nc73324491,2020-01-07T01:14:03.274Z,"3km W of San Juan Bautista, CA",earthquake,0.42,0.89,0.28,10,automatic,nc,nc
2020-01-06T22:42:26.780Z,19.2234993,-155.4156647,33.63,2.37,ml,48,136,0.02211,0.14,hv,hv71321072,2020-01-06T22:48:06.700Z,"7km ENE of Pahala, Hawaii",earthquake,0.57,0.69,0.22,4,automatic,hv,hv
2020-01-06T22:34:39.680Z,35.8955,-117.7376667,6.39,0.93,ml,18,61,0.08433,0.15,ci,ci39026095,2020-01-07T01:24:47.211Z,"16km ESE of Little Lake, CA",earthquake,0.27,0.81,0.226,14,reviewed,ci,ci
2020-01-06T22:34:37.343Z,62.4233,-148.3782,20,1.6,ml,,,,0.38,ak,ak020aaizhy,2020-01-06T22:37:32.610Z,"74km NNE of Sutton-Alpine, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-01-06T22:31:53.256Z,-11.371,118.4393,10,5.2,mww,,38,4.624,0.92,us,us70006vg3,2020-01-06T22:50:14.040Z,"199km SSW of Kahale, Indonesia",earthquake,6.5,1.8,0.071,19,reviewed,us,us
2020-01-06T22:30:42.820Z,48.0925,-121.931666666667,-0.41,1.93,ml,11,80,,0.16,uw,uw61566136,2020-01-06T23:26:16.815Z,"2km ENE of Granite Falls, Washington",explosion,0.41,31.61,0.171099475843213,5,reviewed,uw,uw
2020-01-06T22:26:35.880Z,35.9006667,-117.7283333,6.26,0.87,ml,15,57,0.0789,0.1,ci,ci39026079,2020-01-07T01:25:02.213Z,"17km ESE of Little Lake, CA",earthquake,0.19,0.63,0.176,13,reviewed,ci,ci
2020-01-06T22:17:40.940Z,35.471,-119.3363333,26.22,2.43,ml,28,63,0.14,0.25,ci,ci39026063,2020-01-06T22:28:14.870Z,"7km WSW of Shafter, CA",earthquake,0.48,0.78,0.165,28,automatic,ci,ci
2020-01-06T21:37:55.500Z,17.9391,-66.835,7,4.4,ml,16,202,0.057,0.28,pr,pr2020006030,2020-01-07T01:18:51.141Z,"5km SE of Indios, Puerto Rico",earthquake,1.23,0.88,0.41,9,reviewed,pr,pr
2020-01-06T21:33:11.330Z,19.309,-155.2111667,1.54,2.39,ml,50,132,0.03042,0.11,hv,hv71320987,2020-01-06T23:50:43.481Z,"13km SSE of Volcano, Hawaii",earthquake,0.19,0.34,0.175,28,reviewed,hv,hv
2020-01-06T21:31:43.840Z,34.134,-117.4376667,7.08,1.24,ml,32,73,0.1037,0.22,ci,ci39026023,2020-01-06T21:42:44.000Z,"4km NNE of Fontana, CA",earthquake,0.36,0.96,0.159,30,automatic,ci,ci
2020-01-06T21:24:07.520Z,35.6075,-117.5921667,4.23,1.15,ml,19,84,0.02374,0.15,ci,ci39026015,2020-01-07T01:25:35.670Z,"8km E of Ridgecrest, CA",earthquake,0.25,0.41,0.148,16,reviewed,ci,ci
2020-01-06T21:21:17.894Z,-24.0395,-67.0863,218.81,4.4,mb,,91,1.475,0.34,us,us70006vei,2020-01-06T22:28:42.040Z,"80km WNW of San Antonio de los Cobres, Argentina",earthquake,10.8,18.1,0.536,1,reviewed,us,us
2020-01-06T21:19:02.370Z,19.2263333,-155.4123333,35.15,3.53,md,63,137,0.01789,0.11,hv,hv71320967,2020-01-06T23:36:33.094Z,"5km NE of Pahala, Hawaii",earthquake,0.42,0.45,0.111,26,reviewed,hv,hv
2020-01-06T20:43:50.544Z,39.8843,-119.7507,13,0.9,ml,3,165.1,0.083,0.0732,nn,nn00714794,2020-01-06T21:35:07.512Z,"26km N of Spanish Springs, Nevada",earthquake,,10.4,0,1,reviewed,nn,nn
2020-01-06T20:39:15.670Z,17.9233,-66.8851,7,2.72,md,14,213,0.0521,0.09,pr,pr2020006032,2020-01-06T21:50:30.561Z,"5km SSE of Guanica, Puerto Rico",earthquake,0.63,0.3,0.23,14,reviewed,pr,pr
2020-01-06T20:39:10.290Z,45.8758333,-106.8505,-2,3.14,ml,11,117,0.922,0.76,mb,mb80377629,2020-01-06T21:58:13.960Z,"17km W of Colstrip, Montana",quarry blast,3.95,31.61,0.186,6,reviewed,mb,mb
2020-01-06T20:30:33.800Z,32.774,-116.8885,-0.27,1.24,ml,27,59,0.05941,0.29,ci,ci39025983,2020-01-06T21:57:54.893Z,"5km NE of Rancho San Diego, CA",quarry blast,0.49,31.61,0.134,7,reviewed,ci,ci
2020-01-06T20:29:52.430Z,35.681,-117.5201667,9.71,1.68,ml,30,54,0.07106,0.17,ci,ci39025967,2020-01-06T21:25:30.710Z,"14km SW of Searles Valley, CA",earthquake,0.25,0.56,0.174,26,reviewed,ci,ci
2020-01-06T20:23:18.260Z,17.9243,-66.8805,6,2.8,md,14,213,0.0508,0.11,pr,pr2020006031,2020-01-06T21:09:15.239Z,"5km SSE of Guanica, Puerto Rico",earthquake,0.61,0.3,0.38,13,reviewed,pr,pr
2020-01-06T20:22:20.960Z,37.5706667,-118.8271667,2.1,0.46,md,5,296,0.01939,0.01,nc,nc73324456,2020-01-07T00:57:04.793Z,"13km W of Toms Place, CA",earthquake,1.22,0.87,0.144,5,reviewed,nc,nc
2020-01-06T20:21:16.030Z,36.0078333,-117.3546667,4.69,1.69,ml,21,76,0.1198,0.19,ci,ci39025951,2020-01-06T21:24:39.276Z,"27km N of Searles Valley, CA",earthquake,0.35,0.96,0.146,23,reviewed,ci,ci
2020-01-06T19:37:36.050Z,34.0618333,-117.2638333,15.96,1.21,ml,30,71,0.1151,0.23,ci,ci39025879,2020-01-06T21:25:39.450Z,"2km N of Loma Linda, CA",earthquake,0.36,0.97,0.165,29,reviewed,ci,ci
2020-01-06T19:20:31.020Z,36.8523331,-121.2910004,6.67,2.06,md,22,71,0.08573,0.14,nc,nc73324451,2020-01-06T22:41:02.203Z,"7km NNE of Tres Pinos, CA",earthquake,0.38,1.25,0.21,22,automatic,nc,nc
2020-01-06T19:17:30.040Z,36.0873337,-120.6693344,5.85,1.63,md,23,146,0.04949,0.08,nc,nc73324446,2020-01-06T21:58:01.900Z,"22km ENE of San Ardo, CA",earthquake,0.5,0.49,0.24,7,automatic,nc,nc
2020-01-06T19:13:28.982Z,61.6141,-150.7093,34.7,2.5,ml,,,,1.09,ak,ak020a8m602,2020-01-07T00:18:51.040Z,"24km NE of Nikiski, Alaska",earthquake,,4.1,,,automatic,ak,ak
2020-01-06T19:07:43.610Z,35.687,-117.5451667,9.77,1.44,ml,28,51,0.06769,0.18,ci,ci39025839,2020-01-06T21:25:36.270Z,"14km ENE of Ridgecrest, CA",earthquake,0.33,0.8,0.166,21,reviewed,ci,ci
2020-01-06T19:05:53.870Z,35.7455,-117.5568333,2.58,0.85,ml,12,116,0.0775,0.19,ci,ci39025831,2020-01-06T21:25:05.685Z,"14km W of Searles Valley, CA",earthquake,0.46,0.71,0.058,10,reviewed,ci,ci
2020-01-06T19:01:38.580Z,36.659832,-121.3361664,12.18,1.83,md,4,139,0.05184,0.02,nc,nc73324441,2020-01-06T20:39:04.383Z,"14km S of Tres Pinos, CA",earthquake,2.83,7.94,0.08,3,automatic,nc,nc
2020-01-06T18:51:53.285Z,64.0547,-148.1386,97.1,2.4,ml,,,,0.62,ak,ak020a88xg0,2020-01-06T19:49:29.889Z,"46km ENE of Healy, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-01-06T18:46:07.060Z,39.0215,-118.7594,3.2,1.9,ml,13,94.49,0.435,0.1607,nn,nn00714771,2020-01-06T19:37:53.567Z,"35km E of Yerington, Nevada",earthquake,,1.7,0.23,8,reviewed,nn,nn
2020-01-06T18:34:36.960Z,35.8066673,-120.3428345,3.86,1.68,md,9,179,0.02578,0.03,nc,nc73324436,2020-01-06T19:42:03.049Z,"10km NNW of Cholame, CA",earthquake,1.25,1.29,0.58,2,automatic,nc,nc
2020-01-06T18:17:28.320Z,45.074,-111.734,-2,1.04,ml,10,107,0.269,0.2,mb,mb80377619,2020-01-06T20:27:20.850Z,"29km SE of Virginia City, Montana",quarry blast,26.32,31.61,0.048,2,reviewed,mb,mb
2020-01-06T18:12:42.440Z,38.8366661,-122.828331,1.89,0.38,md,15,82,0.005909,0.02,nc,nc73324426,2020-01-06T18:48:02.562Z,"9km NW of The Geysers, CA",earthquake,0.27,0.54,0.23,2,automatic,nc,nc
2020-01-06T17:58:57.361Z,63.3756,-147.1401,66.13,3.1,ml,,29,0.319,0.31,us,us70006vat,2020-01-07T00:08:08.040Z,"90km E of Cantwell, Alaska",earthquake,4.7,12.1,0.028,172,reviewed,us,us
2020-01-06T17:51:33.078Z,39.4092,-120.2174,11.5,0.3,ml,8,73.58,0.075,0.1268,nn,nn00714792,2020-01-06T21:25:52.678Z,"9km NNW of Truckee, California",earthquake,,3.3,1.34,5,reviewed,nn,nn
2020-01-06T17:46:59.320Z,35.8906667,-117.6805,2.62,0.59,ml,9,85,0.06213,0.06,ci,ci39025775,2020-01-06T21:25:19.685Z,"21km ESE of Little Lake, CA",earthquake,0.17,0.27,0.179,7,reviewed,ci,ci
2020-01-06T17:46:28.550Z,36.0498333,-117.5081667,2.56,0.86,ml,12,104,0.01753,0.16,ci,ci39025767,2020-01-06T17:50:26.676Z,"33km NNW of Searles Valley, CA",earthquake,0.74,0.68,0.087,8,automatic,ci,ci
2020-01-06T17:38:01.320Z,33.95466667,-97.31316667,7,2.55,ml,45,104,0.1169770451,0.34,ok,ok2020akmk,2020-01-07T00:02:00.040Z,"18km W of Marietta, Oklahoma",earthquake,,1.2,0.28,6,reviewed,ok,ok
2020-01-06T17:25:49.830Z,35.2798333,-118.5761667,7.67,1.17,ml,11,129,0.1042,0.17,ci,ci39025727,2020-01-06T21:25:34.687Z,"20km NW of Tehachapi, CA",earthquake,0.47,1.23,0.193,15,reviewed,ci,ci
2020-01-06T17:22:33.330Z,19.208334,-155.3968353,31.62,1.98,md,38,165,0.02902,0.12,hv,hv71320667,2020-01-06T17:25:44.700Z,"8km E of Pahala, Hawaii",earthquake,0.6,0.7,0.16,15,automatic,hv,hv
2020-01-06T16:53:10.340Z,36.1186667,-117.8258333,2.2,1.28,ml,13,143,0.02353,0.11,ci,ci39025671,2020-01-06T21:25:48.687Z,"14km NE of Coso Junction, CA",earthquake,0.33,0.23,0.223,19,reviewed,ci,ci
2020-01-06T16:47:47.980Z,33.7095,-116.757,15.36,1.15,ml,35,41,0.03574,0.2,ci,ci39025663,2020-01-06T16:51:30.436Z,"5km SW of Idyllwild, CA",earthquake,0.27,0.47,0.178,28,automatic,ci,ci
2020-01-06T16:45:52.962Z,63.1208,-150.4555,106.6,1.3,ml,,,,0.38,ak,ak020a70scb,2020-01-06T19:49:28.895Z,"81km WSW of Cantwell, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-01-06T16:42:19.449Z,63.2568,-151.4248,0,1.8,ml,,,,0.99,ak,ak020a702bn,2020-01-06T16:53:19.714Z,"123km NNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-06T16:42:11.460Z,37.6208344,-118.8375015,4,1.37,md,14,150,0.00941,0.02,nc,nc73324421,2020-01-06T18:21:04.380Z,"13km E of Mammoth Lakes, CA",earthquake,0.46,0.75,0.17,12,automatic,nc,nc
2020-01-06T16:29:09.030Z,17.926,-66.8556,7,3.57,ml,13,207,0.0545,0.29,pr,pr2020006019,2020-01-06T22:24:36.272Z,"9km S of Indios, Puerto Rico",earthquake,1.27,0.59,0,0,reviewed,pr,pr
2020-01-06T16:22:36.210Z,33.5863333,-116.8056667,5.36,0.29,ml,14,149,0.03546,0.07,ci,ci39025647,2020-01-06T21:47:36.114Z,"13km WNW of Anza, CA",earthquake,0.26,0.4,0.13,1,reviewed,ci,ci
2020-01-06T16:21:52.310Z,35.7003333,-117.5081667,6.98,0.81,ml,17,138,0.09255,0.16,ci,ci39025639,2020-01-06T16:25:30.265Z,"12km SW of Searles Valley, CA",earthquake,0.43,0.96,0.102,9,automatic,ci,ci
2020-01-06T16:16:52.730Z,35.6283333,-117.4383333,8.02,1.18,ml,22,74,0.05274,0.17,ci,ci39025623,2020-01-06T21:26:23.691Z,"16km SSW of Searles Valley, CA",earthquake,0.36,0.74,0.123,14,reviewed,ci,ci
2020-01-06T16:13:28.640Z,35.9108333,-117.7073333,-0.02,0.77,ml,11,89,0.0592,0.14,ci,ci39025615,2020-01-06T16:17:18.216Z,"18km E of Little Lake, CA",earthquake,0.25,31.61,0.206,8,automatic,ci,ci
2020-01-06T15:49:04.000Z,35.6053333,-117.48,9.03,1.17,ml,16,102,0.0118,0.17,ci,ci39025591,2020-01-06T16:05:31.705Z,"18km E of Ridgecrest, CA",earthquake,0.42,0.69,0.181,13,reviewed,ci,ci
2020-01-06T15:47:44.750Z,35.7908333,-117.6176667,6.67,1,ml,15,93,0.02977,0.2,ci,ci39025583,2020-01-06T15:51:24.043Z,"20km W of Searles Valley, CA",earthquake,0.36,0.88,0.121,12,automatic,ci,ci
2020-01-06T15:44:53.130Z,46.9118333,-112.5438333,13.18,1.4,ml,6,125,0.088,0.12,mb,mb80377579,2020-01-06T16:16:05.110Z,"11km ESE of Lincoln, Montana",earthquake,0.44,0.69,0.263,2,reviewed,mb,mb
2020-01-06T15:29:34.496Z,60.1,-147.7857,25.6,1.9,ml,,,,0.53,ak,ak020a6bvgh,2020-01-06T15:43:14.182Z,"89km E of Bear Creek, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-01-06T15:24:35.775Z,66.1656,-157.2091,60.8,3.2,ml,,,,0.87,ak,ak020a6asn4,2020-01-06T15:58:13.040Z,"76km S of Kobuk, Alaska",earthquake,,3.3,,,automatic,ak,ak
2020-01-06T15:21:34.930Z,36.9090004,-121.4128342,5.97,1.9,md,18,140,0.0313,0.08,nc,nc73324396,2020-01-06T16:17:03.651Z,"7km N of Hollister, CA",earthquake,0.42,0.74,0.12,15,automatic,nc,nc
2020-01-06T15:10:10.880Z,36.635334,-121.2535019,8.41,2.83,md,54,66,0.05493,0.1,nc,nc73324391,2020-01-06T15:53:33.082Z,"15km NW of Pinnacles, CA",earthquake,0.17,0.6,0.17,67,automatic,nc,nc
2020-01-06T14:58:19.800Z,17.9088,-66.8941,7,4.3,mwp,13,229,0.068,0.22,pr,pr2020006016,2020-01-06T21:57:04.531Z,"3km E of Maria Antonia, Puerto Rico",earthquake,1.15,0.6,0.27,10,reviewed,pr,pr
2020-01-06T14:51:17.270Z,17.9075,-66.799,6,4.9,ml,11,232,0.1049,0.16,pr,pr2020006017,2020-01-07T01:27:40.649Z,"8km SSW of Tallaboa, Puerto Rico",earthquake,1.1,0.69,0.31,8,reviewed,pr,pr
2020-01-06T14:49:21.977Z,63.2683,-150.4245,119.5,2.5,ml,,,,0.53,ak,ak020a5upgi,2020-01-06T22:52:02.451Z,"76km W of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-01-06T14:49:11.468Z,50.9244,-178.252,10,4,mb,,218,0.722,0.66,us,us70006v8x,2020-01-06T20:56:22.040Z,"70km ESE of Amatignak Island, Alaska",earthquake,4.6,2,0.068,58,reviewed,us,us
2020-01-06T14:45:30.430Z,59.9512,-152.3179,60.9,1.2,ml,,,,0.26,ak,ak020a5ttq6,2020-01-06T19:49:26.900Z,"33km NW of Anchor Point, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2020-01-06T14:40:22.990Z,61.7077,-149.8243,41.2,1.3,ml,,,,0.67,ak,ak020a5sru8,2020-01-06T15:43:11.733Z,"8km N of Houston, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-01-06T14:34:02.960Z,38.8271675,-122.8111649,1.77,0.58,md,17,44,0.003862,0.02,nc,nc73324386,2020-01-06T15:33:03.391Z,"7km NW of The Geysers, CA",earthquake,0.27,0.52,0.02,2,automatic,nc,nc
2020-01-06T14:33:51.290Z,38.8269997,-122.8103333,1.51,0.79,md,16,53,0.003605,0.02,nc,nc73324381,2020-01-06T15:05:04.229Z,"7km NW of The Geysers, CA",earthquake,0.21,0.49,0.09,3,automatic,nc,nc
2020-01-06T14:09:56.630Z,36.0891685,-121.5695038,1.53,2.52,md,33,210,0.2437,0.1,nc,nc73324376,2020-01-06T14:38:04.074Z,"8km N of Lopez Point, CA",earthquake,0.63,2.84,0.17,24,automatic,nc,nc
2020-01-06T14:06:40.805Z,36.7137,-116.3128,9.9,0.2,ml,24,73.14,0.053,0.1211,nn,nn00714768,2020-01-06T19:28:35.252Z,"45km ESE of Beatty, Nevada",earthquake,,0.8,0.5,9,reviewed,nn,nn
2020-01-06T14:02:33.510Z,34.9135017,-119.0801697,4.13,1.2,ml,10,129,0.114,0.31,ci,ci39025503,2020-01-06T14:07:07.408Z,"10km NE of Pine Mountain Club, CA",earthquake,1.24,2.61,0.063,3,automatic,ci,ci
2020-01-06T13:58:03.350Z,17.9415,-66.8171,8,2.88,md,13,201,0.0706,0.19,pr,pr2020006014,2020-01-06T21:51:55.090Z,"6km S of Indios, Puerto Rico",earthquake,0.81,1.08,0.05,9,reviewed,pr,pr
2020-01-06T13:51:35.290Z,17.9261,-66.871,6,2.67,md,13,208,0.0497,0.21,pr,pr2020006015,2020-01-06T15:50:22.040Z,"5km SE of Guanica, Puerto Rico",earthquake,0.9,0.36,0.18,11,reviewed,pr,pr
2020-01-06T13:43:29.270Z,35.694,-117.5258333,6.69,0.79,ml,16,73,0.07999,0.14,ci,ci39025487,2020-01-06T16:06:48.058Z,"14km SW of Searles Valley, CA",earthquake,0.33,0.85,0.098,7,reviewed,ci,ci
2020-01-06T13:38:55.130Z,33.7033333,-116.7095,15.88,0.75,ml,19,62,0.008728,0.18,ci,ci39025479,2020-01-06T16:07:04.447Z,"4km SSE of Idyllwild, CA",earthquake,0.44,0.54,0.221,20,reviewed,ci,ci
2020-01-06T13:36:45.780Z,36.9606667,-121.5873337,2.8,2.74,md,53,33,0.006829,0.14,nc,nc73324366,2020-01-06T23:12:00.508Z,"5km SSW of Gilroy, CA",earthquake,0.2,0.42,0.17,62,automatic,nc,nc
2020-01-06T13:36:39.630Z,35.8783333,-117.6916667,0.62,0.79,ml,13,78,0.07709,0.24,ci,ci39025471,2020-01-06T13:40:19.251Z,"20km ESE of Little Lake, CA",earthquake,0.45,0.86,0.174,8,automatic,ci,ci
2020-01-06T13:29:02.990Z,33.4935,-116.786,6.14,0.53,ml,25,59,0.02232,0.12,ci,ci39025463,2020-01-06T21:23:36.395Z,"9km NE of Aguanga, CA",earthquake,0.16,0.44,0.08,8,reviewed,ci,ci
2020-01-06T13:27:20.680Z,34.1538333,-117.3601667,9.26,1.13,ml,27,57,0.07577,0.2,ci,ci39025455,2020-01-06T13:31:06.198Z,"2km W of Muscoy, CA",earthquake,0.35,0.76,0.129,26,automatic,ci,ci
2020-01-06T13:17:13.580Z,19.2281666,-155.4083405,31.29,1.83,md,42,139,0.08797,0.14,hv,hv71320492,2020-01-06T13:20:23.040Z,"7km ENE of Pahala, Hawaii",earthquake,0.65,0.9,0.18,12,automatic,hv,hv
2020-01-06T13:13:25.339Z,52.4686,-172.9104,115.5,2.2,ml,,,,0.47,ak,ak020a51ky5,2020-01-06T19:49:25.956Z,"93km ENE of Atka, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2020-01-06T13:08:59.017Z,63.4503,-151.0528,1.4,1.8,ml,,,,0.74,ak,ak020a50k31,2020-01-06T13:16:04.806Z,"105km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-06T13:05:37.340Z,17.8755,-66.7773,6,2.15,md,12,247,0.1425,0.11,pr,pr2020006039,2020-01-07T01:01:12.731Z,"13km SSE of Indios, Puerto Rico",earthquake,0.93,0.49,0.55,3,reviewed,pr,pr
2020-01-06T13:05:32.020Z,35.8553333,-117.655,12.53,0.8,ml,8,113,0.06118,0.12,ci,ci39025447,2020-01-06T14:11:06.743Z,"24km ESE of Little Lake, CA",earthquake,0.42,0.96,0.132,8,reviewed,ci,ci
2020-01-06T13:04:41.939Z,36.52833333,-98.98066667,7.6,0.37,ml,12,133,0.04679081805,0.02,ok,ok2020akdk,2020-01-06T16:20:17.696Z,"22km ENE of Mooreland, Oklahoma",earthquake,,0.1,0.26,3,reviewed,ok,ok
2020-01-06T12:53:58.750Z,37.3701668,-118.7938309,4.35,1.45,md,14,225,0.1845,0.07,nc,nc73324361,2020-01-06T13:25:02.537Z,"18km WSW of Round Valley, CA",earthquake,1.12,8.1,0.2,13,automatic,nc,nc
2020-01-06T12:49:23.490Z,35.9623333,-117.792,2.57,0.86,ml,13,78,0.02432,0.09,ci,ci39025439,2020-01-06T12:53:01.254Z,"11km ENE of Little Lake, CA",earthquake,0.2,0.21,0.239,12,automatic,ci,ci
2020-01-06T12:44:56.126Z,55.3433,-162.0841,114,2,ml,,,,0.73,ak,ak020a4msu5,2020-01-06T19:49:24.994Z,"44km ENE of Cold Bay, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2020-01-06T12:44:38.130Z,17.9341,-66.8443,7,3.15,md,13,217,0.0538,0.13,pr,pr2020006013,2020-01-06T17:20:34.242Z,"10km SSE of Guanica, Puerto Rico",earthquake,0.63,0.27,0.25,11,reviewed,pr,pr
2020-01-06T12:40:13.390Z,37.475,-118.8483333,4.19,0.7,md,9,243,0.1158,0.03,nc,nc73324356,2020-01-07T01:06:03.224Z,"18km WSW of Toms Place, CA",earthquake,1.5,2.28,0.26,10,reviewed,nc,nc
2020-01-06T12:39:11.220Z,35.7838333,-117.5923333,6.57,1,ml,17,129,0.03212,0.14,ci,ci39025431,2020-01-06T12:42:57.412Z,"17km W of Searles Valley, CA",earthquake,0.29,0.64,0.203,13,automatic,ci,ci
2020-01-06T12:29:11.110Z,17.9123,-66.8746,7,1.94,md,14,217,0.063,0.11,pr,pr2020006038,2020-01-07T00:58:14.628Z,"7km SSE of Guanica, Puerto Rico",earthquake,0.62,0.33,0.34,4,reviewed,pr,pr
